State FIPS Code,Rank
53000000000,9
53001950100,4
53001950200,6
53001950300,7
53001950400,4
53001950500,7
53003960100,2
53003960200,3
53003960300,8
53003960400,7
53003960500,6
53003960600,3
53005010100,2
53005010201,5
53005010202,5
53005010300,8
53005010400,8
53005010500,9
53005010600,9
53005010701,3
53005010703,4
53005010705,5
53005010707,1
53005010708,5
53005010803,4
53005010805,3
53005010807,6
53005010809,5
53005010810,5
53005010811,1
53005010813,2
53005010814,2
53005010901,9
53005010902,8
53005011001,9
53005011002,9
53005011100,9
53005011200,10
53005011300,9
53005011401,9
53005011402,3
53005011501,9
53005011503,5
53005011504,3
53005011600,8
53005011700,6
53005011800,7
53005011900,4
53005012000,1
53007960100,1
53007960200,1
53007960300,3
53007960400,2
53007960500,3
53007960600,4
53007960700,2
53007960801,1
53007960802,6
53007961000,8
53007961100,9
53007961200,5
53007961301,4
53007961302,4
53009000200,1
53009000300,1
53009000400,1
53009000600,1
53009000700,5
53009000800,5
53009000900,5
53009001000,4
53009001100,4
53009001200,5
53009001300,1
53009001400,1
53009001500,6
53009001600,1
53009001700,1
53009001800,1
53009001900,1
53009002000,1
53009002100,1
53009002300,1
53009940000,1
53009990100,1
53011040101,2
53011040102,2
53011040201,3
53011040202,1
53011040203,4
53011040301,4
53011040302,1
53011040403,3
53011040407,3
53011040408,4
53011040409,2
53011040411,8
53011040412,2
53011040413,6
53011040414,5
53011040415,3
53011040416,1
53011040504,1
53011040505,2
53011040507,8
53011040508,3
53011040509,7
53011040510,6
53011040511,2
53011040603,4
53011040604,8
53011040605,4
53011040608,5
53011040609,5
53011040610,5
53011040703,6
53011040706,8
53011040707,7
53011040709,7
53011040710,4
53011040711,7
53011040712,4
53011040803,4
53011040805,4
53011040806,8
53011040808,7
53011040809,8
53011040810,8
53011040904,7
53011040905,4
53011040907,1
53011040908,6
53011040909,3
53011040910,2
53011041003,7
53011041005,9
53011041007,10
53011041008,5
53011041009,8
53011041010,8
53011041011,6
53011041104,7
53011041105,8
53011041107,6
53011041108,7
53011041110,9
53011041111,10
53011041112,8
53011041201,8
53011041203,9
53011041205,8
53011041206,8
53011041309,9
53011041310,6
53011041312,6
53011041313,9
53011041317,9
53011041318,9
53011041319,8
53011041320,9
53011041321,6
53011041322,9
53011041323,9
53011041325,4
53011041326,7
53011041327,7
53011041328,5
53011041329,4
53011041330,9
53011041331,8
53011041332,7
53011041333,9
53011041400,6
53011041500,7
53011041600,9
53011041700,10
53011041800,10
53011041900,8
53011042000,8
53011042100,7
53011042300,9
53011042400,10
53011042500,9
53011042600,10
53011042700,10
53011042800,4
53011042900,9
53011043000,9
53011043100,8
53013960200,2
53015000300,7
53015000400,6
53015000501,8
53015000502,9
53015000601,6
53015000602,4
53015000702,6
53015000703,6
53015000704,6
53015000800,5
53015000900,5
53015001000,6
53015001100,9
53015001200,6
53015001300,7
53015001501,1
53015001502,8
53015001600,6
53015001700,3
53015001800,1
53015001900,3
53015002001,1
53015002002,2
53015002100,9
53017950100,4
53017950200,4
53017950300,5
